ind	p0	p132	p265	p397	p530
1386	0.9375	3.0226	8.1767	17.0006	27.2246
1387	0.5262	2.1019	5.9554	12.7174	20.2746
1388	0.5612	2.2327	6.33	14.0633	22.6536
1389	0.6831	2.4699	6.8224	14.3589	22.5899
1390	0.6899	2.1785	5.4929	11.2472	17.5849
1391	0.2146	1.2778	4.1638	9.5214	15.643
1392	0.4902	1.7577	4.6184	9.2378	14.7919
1393	0.7134	2.5036	7.0035	15.0698	24.0565
1394	0.6112	2.2114	5.8116	12.3033	19.2748
1395	0.7803	2.8485	8.253	18.8003	30.0371
1396	0.5324	2.063	5.742	12.9714	20.5694
1397	0.2823	1.3912	4.4677	10.2841	17.2105
1398	0.4583	1.7909	5.0333	10.5285	16.5359
1399	0.3211	1.511	4.6156	10.4673	17.6167
1400	0.4063	1.7841	5.3253	12.0619	19.5186
1401	0.5876	2.0514	5.4383	11.5922	18.335
1402	0.6293	2.2897	6.2465	13.9642	21.4233
1403	0.4986	1.9177	5.4468	11.5293	17.916
1404	0.498	1.9289	5.7189	12.2707	19.8809
1405	0.5472	1.8986	5.0522	10.3828	16.8293
1426	0.8633	2.969	8.2609	17.4547	27.8571
1427	1.0859	3.449	9.2113	19.5005	30.3425
1428	0.851	2.7718	7.2434	15.4437	25.1302
1429	1.0737	3.299	8.0391	16.2439	25.7514
1430	0.6724	2.389	6.4062	13.6196	20.9555
1431	0.7707	2.6852	7.1048	15.5966	25.3337
1432	1.2574	3.6364	9.0126	17.6928	27.8821
1433	0.6486	2.4639	6.8323	15.1472	24.7084
1434	0.9567	3.1403	8.4117	17.6965	28.7321
1435	1.1914	3.6065	9.484	19.4885	31.0308
1436	0.96	3.1737	8.6839	19.3152	31.6357
1437	1.1928	3.8953	10.2887	21.4632	33.1224
1438	1.752	5.2245	13.156	27.1394	43.2729
1439	0.4213	1.7604	5.2767	12.172	19.8311
1440	1.1938	3.5218	8.6798	16.8728	26.4652
1441	0.7563	2.6155	7.1249	14.9251	23.3673
1442	1.4848	4.1615	9.8686	19.5484	30.5567
1443	0.7227	2.7809	8.102	17.9363	29.6053
1444	1.169	3.6384	9.4741	20.1877	31.8317
1445	0.9397	2.8705	7.1618	14.6985	23.3884
1466	0.6923	2.3017	6.0534	11.8994	18.0225
1467	0.6317	2.3347	6.3109	13.5774	21.5743
1468	0.869	2.7722	6.9373	14.3915	22.3035
1469	0.4985	1.9552	5.7449	12.5406	20.3247
1470	0.7748	2.6002	6.6101	13.2556	20.8239
1471	0.269	1.4151	4.4226	10.6633	17.6134
1472	0.4714	1.834	5.03	10.7013	16.8449
1473	0.8753	2.9232	7.7799	16.0121	25.7335
1474	0.3958	1.6261	4.7655	10.4923	16.9758
1475	0.7381	2.4701	6.5869	12.8711	20.3748
1476	0.5061	2.0025	5.507	12.1305	19.6853
1477	0.4795	1.9077	5.4875	12.0147	19.0018
1478	0.7208	2.4201	6.52	13.9808	22.1172
1479	0.8644	2.7342	7.361	15.1781	23.784
1480	1.4091	4.0163	10.1525	20.6526	32.1934
1481	0.6197	2.1899	5.8158	12.1703	19.3525
1482	0.5882	1.9762	5.2884	10.8066	16.8612
1483	1.5149	3.9785	8.8478	16.5482	24.7487
1484	0.4429	1.6068	4.4495	8.8822	13.8403
1485	0.5696	2.0704	5.6594	12.1691	19.2538
1506	1.2593	3.7547	9.25	18.4601	28.7021
1507	0.91	2.8978	7.3369	15.0337	24.1254
1508	1.1842	3.4463	8.6685	17.5596	27.3383
1509	0.638	2.3178	6.4299	13.6201	21.6017
1510	1.2014	3.5626	9.1183	18.7083	28.6398
1511	0.927	3.1003	8.5804	18.524	29.9227
1512	1.1287	3.1309	7.2448	13.7699	20.8428
1513	1.0102	3.3846	9.2075	19.3641	30.495
1514	0.7163	2.5884	7.5838	17.4034	27.925
1515	0.5388	1.8599	4.9042	10.1236	16.1504
1516	0.9561	2.7749	6.6897	12.592	19.4794
1517	1.3709	4.2924	11.2127	23.3317	35.9876
1518	1.4497	4.3939	11.1564	22.7509	35.6995
1519	1.1448	3.2401	7.9239	15.7914	24.7715
1520	0.5567	2.1025	5.8604	12.9584	20.4255
1521	1.1102	3.2555	7.6521	15.4686	23.6269
1522	0.4583	1.8154	5.0515	11.0178	17.6775
1523	0.925	3.036	8.133	17.4567	27.8305
1524	1.1541	3.4375	8.3667	16.5411	25.4707
1525	1.0008	3.1521	8.0323	16.4989	25.8804
1546	0.7159	2.544	7.0085	14.9096	24.1592
1547	0.7294	2.382	6.1685	12.5311	19.2657
1548	0.2226	1.1629	3.379	7.5248	11.6817
1549	0.4711	1.7976	5.0565	10.59	16.8684
1550	0.3913	1.798	5.6506	12.8519	20.1476
1551	0.6956	2.5771	7.1507	15.5376	24.1131
1552	0.0601	0.8883	3.3016	8.56	14.6777
1553	0.9551	3.1366	7.9567	16.3021	24.9867
1554	0.5429	2.2144	6.2196	13.6236	21.8232
1555	0.5744	2.1315	5.8398	12.7967	20.24
1556	0.2336	1.2712	3.8975	8.8766	14.0495
1557	0.5808	2.4889	7.7701	18.6002	32.0219
1558	0.5477	2.2643	6.5218	14.2518	22.8988
1559	0.226	1.2625	3.9163	9.1412	14.5333
1560	0.4295	1.8185	5.3031	11.9688	19.2121
1561	0.1496	0.9976	3.2357	7.1463	11.4292
1562	0.4297	1.9395	6.0093	13.8126	22.0297
1563	0.4222	1.8842	5.5246	12.0799	19.4
1564	0.5114	2.1176	6.5092	14.6756	23.3733
1565	0.7004	2.6665	7.6729	16.4383	25.7897
1586	0.722	2.6632	7.1743	15.4968	23.7739
1587	0.694	2.5111	6.9991	15.1942	24.6357
1588	0.3965	1.6991	4.8243	10.6619	16.6961
1589	0.4889	1.9291	5.3502	11.3617	17.5937
1590	0.5976	2.1383	5.6668	11.7539	18.7258
1591	1.0513	3.227	8.1833	16.5758	24.5604
1592	0.7547	2.5026	6.6491	13.8011	22.3413
1593	0.8208	2.8287	7.8651	15.8773	25.0278
1594	0.4384	1.8797	5.6711	12.5715	19.4663
1595	0.5613	2.3637	7.3731	17.3073	28.0417
1596	0.7506	2.7506	7.5859	16.8151	25.5413
1597	0.6904	2.5074	6.9136	14.7429	23.0395
1598	0.7412	2.5159	6.9104	14.0344	21.9726
1599	0.5122	1.9192	5.3652	11.3873	17.9811
1600	0.4321	1.8717	5.4008	12.1453	19.1662
1601	0.257	1.4907	4.9542	11.9993	19.7871
1602	0.4384	1.7664	5.1929	11.0635	17.7582
1603	0.5569	2.3114	6.8976	15.6086	25.0917
1604	0.6555	2.3654	6.4618	13.47	21.0598
1605	0.3544	1.6461	4.973	11.3074	18.2463
1626	0.7294	2.5775	6.8974	14.308	23.0669
1627	0.5904	2.3481	7.1631	17.4231	29.9901
1628	0.9796	3.2744	9.1685	20.1092	32.9455
1629	0.7879	2.791	7.9074	17.0327	27.8342
1630	0.8198	2.8439	7.7271	16.2868	25.4647
1631	1.4459	4.281	10.716	22.0841	34.5052
1632	0.7184	2.5747	7.0163	15.0533	23.8708
1633	0.8394	2.7688	7.0912	14.3209	22.5082
1634	0.8347	2.8968	8.0845	17.6644	29.412
1635	0.5492	2.2346	6.9275	16.0631	26.876
1636	1.4956	4.4527	11.5208	23.6165	36.6891
1637	0.7735	2.7787	8.217	18.1345	31.3766
1638	0.5857	2.4084	7.4591	17.8146	29.7431
1639	0.7168	2.5512	6.9828	15.0335	23.8941
1640	0.6272	2.5724	8.1402	18.908	31.9472
1641	1.0255	3.3475	8.9119	19.2799	30.8214
1642	0.9497	3.2648	9.4264	20.5315	34.0612
1643	0.6746	2.3656	6.4996	13.8056	21.6854
1644	1.2958	4.164	10.7598	22.3373	36.9076
1645	0.7722	2.8809	8.3252	18.2446	30.7382
1666	0.8711	3.118	8.6134	17.9771	29.2318
1667	0.7553	3.0506	9.1254	21.3244	35.5294
1668	0.8432	2.6182	6.7465	13.4369	21.2983
1669	0.4523	1.7871	4.9081	10.7425	17.3157
1670	0.4717	1.8715	5.5987	12.1489	20.2416
1671	0.4385	1.9127	5.7489	12.9314	21.8591
1672	0.3196	1.4883	4.4865	10.1296	16.7729
1673	0.7853	2.7997	8.1522	17.5355	29.8543
1674	0.7173	2.3748	6.2477	12.9042	20.501
1675	0.5194	2.2137	6.6018	14.7946	25.0991
1676	0.8199	2.552	6.5402	13.4127	20.8107
1677	0.5925	2.1128	5.9766	12.5313	20.1727
1678	0.4449	1.8796	5.7086	13.0481	21.4403
1679	0.7862	2.8042	7.8561	16.9666	26.9352
1680	0.8468	2.8715	7.662	16.9884	26.8287
1681	1.1212	3.7729	10.2934	22.0188	34.9817
1682	0.6529	2.2563	6.1108	12.9375	20.556
1683	0.4688	1.884	5.2378	11.6725	19.1868
1684	0.5808	2.3862	6.9924	15.5628	24.9803
1685	0.9202	3.0402	8.4763	17.9852	28.8011
1706	0.8107	3.0143	8.683	19.8966	32.4391
1707	1.036	3.6435	9.9657	21.3455	34.2736
1708	1.1302	3.6514	9.5254	20.12	32.0983
1709	0.8703	3.2298	9.0756	20.1236	32.5998
1710	0.7845	2.7653	7.7102	16.9728	27.2017
1711	0.3894	1.7206	5.4107	12.3483	19.8845
1712	0.8374	2.9601	8.5323	18.5797	30.1533
1713	0.8241	2.9541	8.0897	17.2096	27.7623
1714	1.0064	3.5678	10.0675	22.8896	36.9298
1715	0.3718	1.8535	6.2437	15.2426	25.244
1716	0.5406	2.273	7.1963	16.0932	26.6966
1717	0.8103	2.589	6.8114	14.0014	21.4735
1718	1.1387	3.6985	10.0369	21.4372	34.5362
1719	1.1162	3.8486	10.6628	23.6646	37.9568
1720	1.0031	3.4293	9.6954	21.1595	34.0513
1721	0.5535	2.1816	6.3701	14.4416	23.0229
1722	1.1387	3.815	10.3018	22.3037	34.5529
1723	0.9551	3.4074	9.6186	21.2692	34.7042
1724	0.646	2.4346	6.7408	14.8144	23.7652
1725	0.7345	2.7117	7.8434	17.4435	28.9034
1746	0.3426	1.7211	5.6109	13.4358	22.733
1747	1.0281	3.4251	8.9423	18.191	27.9164
1748	0.787	2.7338	7.5189	15.9461	25.0907
1749	0.6932	2.4398	6.8094	14.6198	23.6892
1750	0.5007	1.9485	5.5425	11.6548	18.6104
1751	0.966	3.2429	8.4959	17.9189	28.2608
1752	0.4361	2.0557	6.4815	15.2774	24.0755
1753	0.731	2.5984	7.1486	15.2733	24.6239
1754	0.5931	2.3744	7.1393	15.7218	24.2634
1755	0.661	2.3934	6.5367	13.6144	21.5705
1756	0.8499	2.726	7.257	15.0884	24.5672
1757	0.4451	1.7963	5.1157	11.3961	18.1265
1758	0.8756	3.0644	8.4739	17.7757	27.8368
1759	0.5303	2.1487	6.7131	15.4712	24.9267
1760	0.1943	1.1897	3.8163	8.6674	14.2619
1761	0.6831	2.4992	7.0813	15.5807	25.0653
1762	0.1816	1.1006	3.3533	7.4412	11.6165
1763	0.6533	2.5334	7.292	16.515	26.2792
1764	0.2923	1.5976	5.0478	12.0709	19.6546
1765	0.6162	2.2083	6.0082	12.6149	20.0264
1786	0.3603	1.6101	4.851	10.7474	17.5537
1787	0.5924	2.28	6.773	15.7042	25.9755
1788	0.5309	2.2338	6.9184	15.8887	25.4516
1789	0.7707	2.6844	7.133	15.1543	24.0552
1790	0.5031	2.2111	6.9731	16.0055	25.5441
1791	0.5699	2.0797	5.6153	11.9302	19.3748
1792	0.4617	2.026	6.1231	13.958	23.1567
1793	0.4377	2.0884	6.723	15.9989	26.4313
1794	0.4091	1.8948	5.9247	14.0252	23.7397
1795	0.4268	1.843	5.5491	12.2168	19.5896
1796	0.6712	2.3319	6.1482	12.6983	19.6888
1797	0.6603	2.1334	5.2908	10.5269	16.5373
1798	0.5508	1.9651	5.1604	10.6529	16.6248
1799	0.588	2.0361	5.5807	12.1433	19.8229
1800	0.3874	1.5366	4.2443	8.5977	13.4196
1801	0.4596	1.7271	4.5223	9.4534	14.7242
1802	0.539	2.26	6.7706	15.535	26.5629
1803	0.579	2.0719	5.8497	12.2813	19.0845
1804	0.0888	0.9245	3.2751	7.7161	13.0658
1805	0.4532	1.938	5.7001	12.7756	21.6528
1826	0.3227	1.5774	4.918	11.7052	19.7035
1827	0.3673	1.8321	5.8689	14.0724	22.7175
1828	0.5071	2.2281	7.0001	16.084	27.1529
1829	1.1113	3.6363	9.8863	21.5111	35.4107
1830	0.7098	2.6539	7.9324	17.8299	28.8042
1831	0.8152	2.875	8.4574	19.1878	31.567
1832	1.3678	4.038	10.1228	20.1861	32.0264
1833	0.4918	2.0736	6.1214	13.87	22.3349
1834	0.8813	3.2156	9.0895	19.442	30.7502
1835	0.7506	2.709	7.929	17.8418	31.3758
1836	0.6871	2.4491	6.8602	14.9148	25.0569
1837	0.2168	1.26	4.022	9.7132	16.0849
1838	0.4514	2.045	6.4441	15.1621	25.213
1839	0.7612	2.7888	7.7543	16.9636	27.3302
1840	0.9428	3.2955	9.263	20.41	33.7796
1841	0.8922	3.2221	8.9848	20.439	33.9535
1842	0.398	1.7798	5.4442	12.8057	21.3381
1843	1.0842	3.3213	8.4935	17.9239	28.5741
1844	0.9088	2.9497	7.617	16.5737	26.4971
1845	0.6698	2.415	6.7511	14.6837	24.3846
1866	0.614	2.3859	6.9501	15.122	24.8082
1867	0.6057	2.2524	6.5363	14.0142	23.6923
1868	0.446	1.7936	5.138	11.334	18.2736
1869	0.4941	2.1869	6.6804	14.8661	24.4747
1870	0.656	2.3886	6.8585	14.6722	24.3506
1871	0.6292	2.3391	6.8434	15.3892	25.361
1872	0.47	1.8727	5.2883	11.7187	19.6402
1873	0.3899	1.757	5.3789	12.8794	21.8981
1874	0.0889	0.8385	2.8153	6.372	10.7032
1875	0.7259	2.4639	6.6527	13.5492	21.2603
1876	0.5721	2.0978	5.6092	12.0374	19.1831
1877	0.3134	1.4188	4.018	8.5725	13.9438
1878	0.1101	0.9534	3.355	8.4717	14.1562
1879	0.8598	2.9613	8.1015	17.0912	27.4597
1880	0.52	2.1041	6.3102	14.4486	23.8586
1881	0.5153	1.9271	5.1227	10.7521	17.3488
1882	0.4564	1.978	6.2206	14.7405	24.5331
1883	0.2996	1.4914	4.496	9.8543	15.4756
1884	0.4001	1.6727	4.8962	10.5586	16.6049
1885	0.4765	2.0336	6.0223	14.0092	22.8732
1906	0.5405	2.128	6.0663	13.428	21.5115
1907	1.1961	3.6504	9.3556	19.6077	30.6308
1908	0.1526	1.0934	3.6838	9.2322	15.8645
1909	0.7072	2.6648	7.5283	16.7499	27.3446
1910	0.1226	1.1738	4.4692	12.0817	21.0608
1911	0.8173	2.8573	8.0386	16.9303	27.1917
1912	0.4843	1.959	5.7471	12.6666	20.8179
1913	0.5375	2.1416	6.1753	13.7239	22.4655
1914	0.7677	2.7072	7.3921	16.2284	26.955
1915	0.656	2.5725	7.9334	18.2624	30.8603
1916	0.4484	1.726	4.7485	10.0244	16.4619
1917	0.4206	2.0055	6.471	15.677	26.6909
1918	0.2743	1.5241	5.029	11.7227	19.7566
1919	0.8158	2.5908	6.623	13.4225	20.7288
1920	0.6666	2.4149	6.9388	15.6993	24.8681
1921	0.7532	2.6354	7.4448	16.4243	27.5597
1922	0.4976	1.9937	5.7783	12.8926	20.8186
1923	0.6769	2.5992	7.5805	17.4768	29.3189
1924	0.2483	1.1684	3.6037	7.8724	12.8726
1925	0.9489	3.1567	8.4185	18.1734	29.2268
1946	0.3686	1.7952	5.7667	13.6772	22.1863
1947	1.2317	4.3147	12.4687	28.3738	45.5792
1948	0.6389	2.7021	8.6316	20.8591	35.0265
1949	0.6421	2.5129	7.7367	17.9095	30.4858
1950	0.6503	2.5107	7.6253	17.2757	29.1662
1951	0.9699	3.3659	9.2562	20.2672	32.8385
1952	0.6016	2.5887	7.9654	19.848	33.6482
1953	0.6414	2.5749	8.0322	18.5803	30.0422
1954	0.5793	2.3902	7.3861	17.5028	28.323
1955	0.795	3.1867	9.4225	22.3344	35.7427
1956	0.3707	1.7985	5.9934	14.5508	24.5951
1957	0.7367	2.7857	7.8188	17.9865	29.9928
1958	0.468	2.1933	7.1619	17.4633	28.5489
1959	0.8161	3.0458	9.0816	21.1406	35.5048
1960	0.4488	2.0284	6.2534	14.4375	23.0487
1961	0.42	1.8833	5.8374	13.5413	22.0112
1962	1.0683	3.5789	10.142	22.6402	37.0416
1963	1.0017	3.6142	10.5582	23.8288	38.0705
1964	0.5022	1.9861	5.7141	12.2509	18.8672
1965	0.8614	3.3466	9.8849	23.2919	38.2913
1986	0.8053	2.9907	8.4955	18.4457	29.9819
1987	0.7843	2.8689	8.5208	18.912	31.5083
1988	0.9332	3.1973	9.3962	20.8145	33.9619
1989	0.4408	1.9093	5.7906	12.9906	21.4011
1990	0.7034	2.6766	7.835	17.5963	29.6316
1991	0.4357	1.9075	5.7351	12.7955	20.8986
1992	0.7117	2.6937	7.6255	17.3714	27.4614
1993	0.9057	3.3123	9.8208	22.6807	37.4256
1994	0.5725	2.4849	7.9951	19.5142	31.4494
1995	1.1993	4.0628	11.2675	25.535	39.2055
1996	0.6147	2.2535	6.231	13.2738	20.7164
1997	0.7809	2.9565	8.6907	20.1092	33.3389
1998	0.8833	2.7332	6.8846	13.4753	20.5994
1999	0.5626	1.9987	5.5581	11.1287	17.9039
2000	0.6381	2.7184	8.3731	20.3888	34.4148
2001	0.7881	2.8495	8.1545	17.4215	27.849
2002	0.9542	3.3521	9.8047	21.7214	36.3354
2003	0.662	2.5891	7.4802	16.5213	26.495
2004	0.1921	1.3607	5.1647	13.2589	22.5245
2005	0.5238	2.5093	8.2836	19.9665	33.0389
2026	0.7289	2.6405	7.3717	16.0525	25.6911
2027	0.8178	2.8596	8.1688	17.6704	28.2695
2028	0.3287	1.4369	4.2185	9.0812	14.9349
2029	0.9454	3.2902	9.2648	19.8374	32.0735
2030	1.0966	3.6175	9.9684	21.1833	33.5897
2031	0.7647	2.6854	7.5146	16.2365	27.3615
2032	0.5204	2.1772	6.4673	14.7196	23.948
2033	0.7918	2.9322	8.8779	20.5267	33.885
2034	0.9751	3.0958	7.9249	16.6683	25.7714
2035	0.8208	3.1903	9.1956	21.1309	34.6835
2036	0.7194	2.4016	6.3038	13.3417	20.8927
2037	1.4827	4.4459	11.3674	23.2906	36.6595
2038	0.4139	1.6805	4.7261	10.1755	16.2981
2039	1.3037	4.0789	10.7928	22.839	37.889
2040	0.7333	2.6751	7.5029	15.8266	24.9872
2041	0.6778	2.7097	7.9048	17.6866	29.6474
2042	0.9646	3.2924	8.6789	18.4205	28.9097
2043	0.5257	1.937	5.3674	11.3304	18.1476
2044	1.1046	3.7916	10.9428	23.938	39.0021
2045	0.9267	3.1103	8.6719	18.9573	29.4731
2066	0.656	2.4136	6.8921	14.9143	24.0769
2067	0.5935	2.2739	6.5893	14.6056	23.6896
2068	0.789	2.7512	7.3016	15.4564	24.7028
2069	1.16	3.831	10.0311	21.4801	33.0571
2070	0.7973	2.7845	7.5851	16.376	26.5447
2071	0.3009	1.59	4.8863	11.5297	18.983
2072	0.4534	1.8849	5.5476	12.2268	19.5418
2073	0.7459	2.6225	7.0338	14.8802	23.5014
2074	0.6862	2.5094	7.032	15.1529	25.3524
2075	0.5793	2.3641	6.8443	16.059	27.0575
2076	0.9545	2.8892	7.2163	14.522	21.6492
2077	0.8944	3.0641	8.8142	19.3551	31.5734
2078	0.5897	2.1929	6.2856	13.7093	22.0916
2079	0.4519	1.8271	5.1892	11.1638	18.0018
2080	0.6947	2.5951	7.4735	16.305	26.7277
2081	1.0343	3.363	9.1017	19.1013	30.3123
2082	0.7749	2.8145	7.7275	17.0636	27.3295
2083	1.2806	3.8969	9.4735	19.1998	28.8211
2084	0.3014	1.4518	4.5512	10.8017	17.879
2085	0.4462	2.0255	6.2438	14.5957	23.8519
2106	0.906	2.9717	8.0213	17.2384	26.941
2107	0.9229	2.8407	7.1416	14.3482	22.4177
2108	1.1102	3.5164	9.4086	19.5036	30.3796
2109	0.2775	1.4469	4.6307	10.7699	17.6022
2110	0.9195	3.2173	9.0068	19.6168	30.5142
2111	1.1311	3.8162	10.496	23.0922	36.7189
2112	0.7253	2.8571	8.5169	19.8299	32.3442
2113	1.1895	4.021	11.0693	23.3519	35.8729
2114	0.4357	1.7069	4.81	9.8591	16.0381
2115	1.0235	3.3082	8.838	18.1139	28.6429
2116	0.9372	3.3444	9.34	20.1149	31.8285
2117	0.6392	2.2687	6.2519	12.8466	20.1276
2118	0.8658	3.1483	8.7929	19.8145	32.0579
2119	0.3889	1.7147	5.4363	12.1096	19.0679
2120	0.905	3.2382	9.108	19.8016	32.3077
2121	0.7373	2.7948	7.8528	16.9647	27.7348
2122	0.673	2.4619	6.9156	14.692	23.5341
2123	0.5108	2.0476	6.0738	13.4924	22.1291
2124	1.3093	4.0692	10.6563	22.3059	35.3175
2125	0.5633	2.2037	6.1744	13.6788	21.4261
2146	0.1495	1.0217	3.2443	7.4192	12.0085
2147	0.9589	3.3515	8.9819	19.0814	29.8482
2148	0.9514	2.8389	7.2259	14.2298	22.5246
2149	0.3126	1.6303	5.3892	12.3109	20.4115
2150	0.7557	2.653	7.2668	15.0809	23.6911
2151	0.8993	3.1989	8.6567	19.0522	30.9969
2152	0.4871	1.7098	4.6353	10.0003	15.5008
2153	0.7418	2.7489	8.0089	18.246	30.0392
2154	0.5777	2.1597	6.0758	13.0017	21.2396
2155	0.9613	3.2685	8.8337	18.8998	29.4031
2156	0.5463	2.143	6.1613	13.5013	21.717
2157	0.2678	1.567	5.2714	13.2552	22.2544
2158	0.1126	1.0099	3.5025	8.1574	13.6569
2159	0.2959	1.4498	4.4431	9.8418	15.9132
2160	0.4817	1.9607	6.0163	13.2815	21.7927
2161	0.6747	2.5313	7.1503	15.1952	24.1589
2162	0.2726	1.3917	4.3897	10.0529	16.6321
2163	1.1901	3.7317	9.2732	18.5222	28.5221
2164	0.7366	2.766	8.2746	17.9626	29.014
2165	0.4717	1.8429	4.9024	10.5247	16.0069
2186	1.5447	4.1695	9.6566	18.4411	27.7299
2187	0.9657	2.9804	7.5282	14.8763	22.9818
2188	0.7678	2.3892	5.679	11.1202	16.6098
2189	0.4266	1.9719	6.0417	13.5648	21.7284
2190	0.5901	2.2355	6.3576	13.8357	22.3228
2191	0.7996	2.9542	8.4333	18.2856	28.3277
2192	0.3278	1.5164	4.583	10.0276	16.4524
2193	0.3731	1.5916	4.7521	10.3488	17.0256
2194	1.4553	4.0199	9.7698	18.8349	29.024
2195	0.6505	2.5627	7.454	16.5683	26.3707
2196	0.8096	2.8082	7.7491	16.6714	26.9592
2197	0.7477	2.8173	8.2123	18.4555	30.6606
2198	0.8803	2.8565	7.211	14.7611	23.2866
2199	0.2515	1.334	4.1392	9.4894	15.0887
2200	0.393	1.9428	6.3768	15.2894	24.6223
2201	0.9196	3.0605	8.2999	17.367	28.0103
2202	0.836	3.2736	9.8838	21.9591	34.7823
2203	0.1839	1.1039	3.4247	7.6756	12.2004
2204	0.5617	2.1275	6.0047	12.944	20.9761
2205	0.7475	2.6712	7.5366	16.1147	24.925
2226	1.1852	3.8162	9.991	20.7758	33.005
2227	0.9841	3.2341	8.539	17.8971	28.5682
2228	0.9839	3.1829	8.5523	18.4882	30.2848
2229	1.2131	3.9515	10.1997	22.4278	36.0065
2230	0.9878	3.1444	8.324	17.4665	27.9463
2231	0.507	1.9988	6.0683	14.1518	23.3436
2232	1.1603	3.5677	9.3992	19.2242	29.5631
2233	0.6742	2.4221	6.9657	15.3033	24.5405
2234	0.6799	2.4377	6.8167	15.0844	24.3296
2235	1.1929	3.7784	9.7184	19.8614	32.1296
2236	1.2547	4.1237	11.4729	25.5359	41.1539
2237	1.0075	3.2059	8.3096	17.8254	28.8084
2238	0.8841	3.0297	8.4629	18.4034	30.0998
2239	1.2222	3.938	10.3113	21.9344	35.1581
2240	1.2571	4.0346	10.5818	21.9948	35.102
2241	0.9023	3.1871	9.3619	21.359	35.201
2242	1.2497	3.7419	9.4822	19.6736	30.8566
2243	0.8709	3.1306	8.7937	19.0601	31.3841
2244	0.8548	2.7976	7.4918	15.5841	24.6278
2245	1.6626	4.6412	10.9722	21.7356	35.4652
2266	1.1019	3.5096	9.0399	18.9427	30.0365
2267	0.4269	1.777	5.1157	11.4779	18.731
2268	1.1455	3.4924	8.7626	17.6863	27.0289
2269	0.791	2.5618	6.8945	14.5467	22.7328
2270	0.8581	2.7374	7.2224	14.5261	22.8231
2271	1.0982	3.4063	8.448	17.731	27.9909
2272	0.5913	2.0939	5.7543	12.5746	20.6114
2273	0.4821	1.9436	5.6989	13.2296	22.029
2274	0.7193	2.4995	6.8085	14.3757	22.8513
2275	0.9959	3.5388	10.3406	22.8532	37.3285
2276	0.768	2.5073	6.5071	13.484	21.2872
2277	0.9778	3.1354	8.2314	17.0601	26.7172
2278	0.7859	2.5939	6.6853	14.4453	22.9484
2279	0.8264	2.7961	7.4884	15.304	24.0059
2280	0.6198	2.4814	7.7113	17.5322	29.6611
2281	0.382	1.6497	5.0556	11.3035	19.0399
2282	0.8967	2.8835	7.4283	15.4151	24.0389
2283	0.6458	2.3587	6.5	14.6136	23.9526
2284	0.9484	2.9973	7.5835	15.0366	24.2395
2285	0.7851	2.7984	8.1374	18.281	30.3036
2306	0.8948	2.9846	7.9595	16.4166	25.8145
2307	0.6965	2.7554	8.485	20.2161	32.7872
2308	0.6151	2.2491	6.5851	14.5114	23.8066
2309	0.7764	2.4908	6.2531	12.4522	19.345
2310	1.1502	3.6872	9.4922	19.7113	31.3576
2311	0.7321	2.4605	6.8282	14.6955	23.3524
2312	1.268	3.6903	9.3442	18.0539	27.5336
2313	1.1484	3.7872	10.6501	23.1369	36.3862
2314	0.7558	2.6783	7.4024	16.1217	26.0449
2315	1.2522	3.9517	10.335	20.9974	33.4733
2316	1.0418	3.2605	8.1323	16.1535	24.6196
2317	1.0603	3.3825	9.1814	19.4841	31.8033
2318	1.252	3.8607	9.8649	20.0538	30.4534
2319	0.5914	2.2115	6.1059	13.0581	21.1672
2320	1.2795	3.429	7.87	14.5741	22.4319
2321	1.3859	4.1209	9.6474	18.4268	28.0486
2322	0.4557	2.0123	6.5413	15.8839	27.1157
2323	0.9373	2.9758	7.8287	16.8056	27.2537
2324	1.1379	3.5646	9.4117	19.5729	30.2244
2325	0.9656	3.0088	7.6854	15.6073	25.0472
